Date,Price,Open,High,Low,Vol.,Change %
06-03-2022,83.435,83.7085,84.8925,82.6995,,-0.06%
27-02-2022,83.486,83.9265,84.9375,83.1305,,-1.28%
20-02-2022,84.57,84.5085,84.9625,84.03,,0.04%
13-02-2022,84.534,85.4745,85.8975,84.4695,,-1.11%
06-02-2022,85.479,85.607,86.337,85.168,,0.05%
30-01-2022,85.433,83.6505,85.788,83.27,,2.18%
23-01-2022,83.611,84.4025,84.689,83.3875,,-0.88%
16-01-2022,84.35,84.6415,85.027,84.08,,-0.34%
09-01-2022,84.636,84.327,85.1425,83.616,,0.32%
02-01-2022,84.364,84.657,84.7725,83.834,,-0.34%
26-12-2021,84.654,84.889,85.1325,83.793,,-0.23%
19-12-2021,84.849,85.454,85.758,84.7765,,-0.64%
12-12-2021,85.393,85.6855,86.561,85.2675,,-0.26%
05-12-2021,85.615,85.1805,85.73,84.701,,0.60%
28-11-2021,85.101,84.8425,85.5245,84.339,,0.21%
21-11-2021,84.923,83.956,85.0595,83.303,,1.21%
14-11-2021,83.907,85.1425,85.3175,83.531,,-1.43%
07-11-2021,85.122,85.728,86.1865,84.9555,,-0.78%
31-10-2021,85.79,86.6175,86.9135,85.4555,,-0.95%
24-10-2021,86.61,87.325,87.562,86.515,,-0.84%
17-10-2021,87.346,87.024,87.635,86.892,,0.40%
10-10-2021,87,86.987,87.5125,86.831,,0.14%
03-10-2021,86.882,85.9585,86.985,85.9385,,1.09%
26-09-2021,85.947,86.547,86.8175,85.7555,,-0.60%
19-09-2021,86.465,86.459,86.795,86.194,,0.14%
12-09-2021,86.343,86.858,87.149,86.338,,-0.59%
05-09-2021,86.853,86.7135,87.3715,86.6245,,0.16%
29-08-2021,86.717,86.649,86.98,86.013,,0.09%
22-08-2021,86.643,86.9475,87.43,86.4435,,-0.36%
15-08-2021,86.956,87.561,87.6165,86.734,,-0.66%
08-08-2021,87.535,87.3235,87.6465,86.971,,0.26%
01-08-2021,87.306,88.2015,88.4535,87.2045,,-1.06%
25-07-2021,88.238,87.66,88.6405,87.5615,,0.73%
18-07-2021,87.598,88.0995,88.562,87.488,,-0.54%
11-07-2021,88.072,88.431,88.6045,87.796,,-0.41%
04-07-2021,88.436,88.393,88.775,88.0545,,0.04%
27-06-2021,88.401,88.5815,88.714,88.017,,-0.17%
20-06-2021,88.555,87.9655,88.862,87.847,,0.76%
13-06-2021,87.883,88.6995,89.0535,87.809,,-0.88%
06-06-2021,88.664,88.668,89.1295,88.432,,0.03%
30-05-2021,88.634,88.2825,89.5805,88.221,,0.42%
23-05-2021,88.263,88.79,89.2795,87.9905,,-0.47%
16-05-2021,88.684,88.986,89.6195,88.562,,-0.33%
09-05-2021,88.974,89.084,89.456,88.6095,,-0.14%
02-05-2021,89.096,89.144,89.3545,88.508,,0.12%
25-04-2021,88.993,90.6165,90.7965,88.9675,,-1.82%
18-04-2021,90.646,89.329,90.9295,89.0155,,1.50%
11-04-2021,89.309,88.867,90.216,88.818,,0.43%
04-04-2021,88.927,86.308,89.1485,86.0265,,3.05%
28-03-2021,86.298,85.6495,86.4655,85.3665,,0.79%
21-03-2021,85.622,86.164,86.461,85.2475,,-0.65%
14-03-2021,86.179,86.8795,87.0015,86.0965,,-0.79%
07-03-2021,86.867,87.2575,87.3375,86.474,,-0.39%
28-02-2021,87.209,89.3085,89.479,86.9305,,-2.29%
21-02-2021,89.251,87.933,89.782,87.5645,,1.53%
14-02-2021,87.909,88.007,88.5015,87.517,,-0.05%
07-02-2021,87.952,87.6835,88.476,87.5865,,0.31%
31-01-2021,87.678,88.5085,88.7335,87.1525,,-0.87%
24-01-2021,88.444,88.808,88.91,88.0955,,-0.40%
17-01-2021,88.795,88.3775,89.004,88.133,,0.54%
10-01-2021,88.314,89.5995,89.673,88.297,,-1.43%
03-01-2021,89.595,89.439,90.3245,89.242,,0.96%
27-12-2020,88.746,89.7555,90.2555,88.7665,,-1.14%
20-12-2020,89.768,90.181,90.7105,89.483,,-0.43%
13-12-2020,90.16,89.4515,90.2565,89.184,,0.96%
06-12-2020,89.302,89.507,89.85,88.888,,-0.10%
29-11-2020,89.394,88.426,89.848,87.8095,,1.08%
22-11-2020,88.439,87.8545,88.56,87.5315,,0.68%
15-11-2020,87.843,88.236,88.5915,87.695,,-0.43%
08-11-2020,88.221,87.8725,88.307,87.3775,,0.45%
01-11-2020,87.822,86.9005,88.123,86.4035,,1.14%
25-10-2020,86.833,87.5765,87.584,86.651,,-0.82%
18-10-2020,87.554,86.0875,87.656,85.8605,,1.75%
11-10-2020,86.045,86.2965,86.723,85.765,,-0.33%
04-10-2020,86.327,85.872,86.7135,85.722,,0.55%
27-09-2020,85.852,85.71,86.712,85.519,,0.20%
20-09-2020,85.678,87.124,87.3045,85.5605,,-1.57%
13-09-2020,87.047,87.0705,87.636,86.316,,0.08%
06-09-2020,86.978,86.729,87.425,86.413,,0.26%
30-08-2020,86.752,87.014,87.897,86.27,,-0.32%
23-08-2020,87.028,88.352,88.4645,86.875,,-1.52%
16-08-2020,88.368,88.689,89.4625,88.091,,-0.33%
09-08-2020,88.658,88.477,88.7845,87.3875,,0.28%
02-08-2020,88.409,88.276,89.183,87.9575,,0.20%
26-07-2020,88.229,87.088,89.144,86.998,,1.28%
19-07-2020,87.114,85.545,87.19,85.2205,,1.81%
12-07-2020,85.562,84.9475,86.1675,84.9475,,0.72%
05-07-2020,84.95,83.895,85.2805,83.8875,,1.19%
28-06-2020,83.948,84.895,85.274,83.7725,,-1.02%
21-06-2020,84.812,85.2965,85.737,84.5725,,-0.47%
14-06-2020,85.209,85.522,86.4535,85.107,,-0.41%
07-06-2020,85.562,85.2995,86.6,84.971,,0.35%
31-05-2020,85.26,83.8955,85.913,83.767,,1.63%
24-05-2020,83.89,82.8045,84.2145,82.5755,,1.36%
17-05-2020,82.767,82.0175,83.1495,81.942,,0.94%
10-05-2020,81.996,81.899,82.2965,81.375,,0.17%
03-05-2020,81.853,83.17,83.177,81.602,,-1.57%
26-04-2020,83.162,82.4365,83.4855,81.3415,,0.79%
19-04-2020,82.513,83.2445,83.7175,81.6225,,-0.84%
12-04-2020,83.214,83.0195,83.8265,82.5575,,0.31%
05-04-2020,82.955,82.4425,83.5675,81.92,,0.68%
29-03-2020,82.396,84.0495,84.1135,81.929,,-1.99%
22-03-2020,84.072,80.646,84.1325,80.198,,4.27%
15-03-2020,80.626,81.852,83.478,79.666,,-1.67%
08-03-2020,81.998,83.5655,85.18,81.6375,,-1.81%
01-03-2020,83.51,79.815,84.0385,79.6235,,4.43%
23-02-2020,79.969,77.925,80.1305,77.6035,,2.62%
16-02-2020,77.929,77.48,78.1205,77.1345,,0.60%
09-02-2020,77.464,78.316,78.3445,77.215,,-0.99%
02-02-2020,78.242,79.341,79.421,78.094,,-1.41%
26-01-2020,79.359,78.613,79.4045,78.299,,0.95%
19-01-2020,78.616,78.8405,79.1945,78.5805,,-0.24%
12-01-2020,78.809,78.943,79.2475,78.6405,,-0.11%
05-01-2020,78.896,80.1525,80.688,78.5445,,-1.49%
29-12-2019,80.091,79.8115,80.2395,79.648,,0.32%
22-12-2019,79.834,78.7415,80.0035,78.681,,1.43%
15-12-2019,78.709,78.7415,79.3035,78.6695,,-0.01%
08-12-2019,78.717,78.8,79.259,78.36,,-0.11%
01-12-2019,78.801,79.0245,79.6015,78.674,,-0.29%
24-11-2019,79.028,79.13,79.1665,78.33,,-0.12%
17-11-2019,79.123,79.1875,79.7735,79.0365,,-0.05%
10-11-2019,79.162,78.653,79.502,78.5815,,0.70%
03-11-2019,78.613,78.986,79.064,78.279,,-0.49%
27-10-2019,79.001,78.4825,79.364,78.389,,0.71%
20-10-2019,78.443,79.2155,79.3865,78.382,,-1.19%
13-10-2019,79.389,78.3285,79.429,78.0215,,1.41%
06-10-2019,78.288,77.7375,78.587,77.706,,0.72%
29-09-2019,77.732,77.1365,78.209,76.912,,0.81%
22-09-2019,77.105,78.296,78.3675,76.8945,,-1.51%
15-09-2019,78.287,78.751,79.3675,78.104,,-0.38%
08-09-2019,78.585,78.9815,79.5085,77.743,,-0.51%
01-09-2019,78.986,78.516,79.642,78.48,,0.60%
25-08-2019,78.518,79.7045,80.584,78.33,,-1.45%
18-08-2019,79.671,78.925,79.889,78.793,,0.98%
11-08-2019,78.898,79.599,80.2615,78.7,,-0.63%
04-08-2019,79.401,77.388,80.041,77.388,,2.58%
